,title,area,numberOfRooms,price,town,district
2373,ADNAN KAHVECİ MAHALLESİN ' DE 185 M2 4 + 1 KİRALIK KUPON DAİRE,185,4+1,9.100,Gürpınar,Adnan Kahveci Mah.
2374,Kale Kent Full Peyzaj Lüx Eşyalı 3+1,184,3+1,25.000,Gürpınar,Adnan Kahveci Mah.
2375,إطلالة على البحر تيراس كبير مسبح مفتوح 3 + 1 دوبلكس,175,3+1,10.900,Gürpınar,Adnan Kahveci Mah.
2376,dereağzı Mahallesi'nde kiralık eşyalı 1+1,80,1+1,6.000,Kavaklı,Kavaklı Mh.
2377,2+1 BEYLİKDÜZÜ KAYMAKAMLIĞINA YÜRÜME MESAFESİNDE - ŞOK ALTINDA,100,2+1,5.500,Yakuplu,
2378,metrobuse 2 dk yürüme mesafesinde eşyalı kiralık daire. Açıklama,50,1+0,3.000,Kavaklı,Cumhuriyet Mah.
2379,İHLAS MARMARA EVLERİ 1. KISIM EŞYALI KİRALIK DAİRE KISA KATLI,150,3+1,10.000,Yakuplu,Marmara Mah.
2380,Kiralık Demir Romance 1+1 67 m2 7000 tl,75,1+1,7.000,Kavaklı,Cumhuriyet Mah.
2381,ADNAN KAHVECİDE FULL DENİZ VE GÖL MANZARALI KİRALIK 2+1 DAİRE,140,2+1,8.000,Gürpınar,Adnan Kahveci Mah.
2382,* 67 GAYRİMENKUL DEN LÜX EŞYALI DENİZ MANZARALI KİRALIK DAİRE *,110,2+1,9.000,Gürpınar,Dereağzı Mh.
2383,WEST FOUR'DAN BEYLİKDÜZÜNDE MARİNAYA KOMŞU 2+1 KİRALIK DAİRE !!!,100,2+1,7.000,Yakuplu,Marmara Mah.
2384,SOSYAL TESİSLİ BUTİK SİTE İÇİ GENİŞ TERASLI DENİZ M. 3+1 DUBLEKS,210,3+1,9.750,Gürpınar,Adnan Kahveci Mah.
2385,SİTE İÇERİSİNDE HİÇ KULLANILMAMIŞ KİRALIK 1+1 LOFT DAİRE,90,1+1,7.000,Yakuplu,Marmara Mah.
2386,Beylikdüzü eşyalı 1+1 kiralık,88,1+1,4.250,Gürpınar,Adnan Kahveci Mah.
2387,Adnan Kahveci mah 4+1 full eşyalı,200,4+1,12.000,Gürpınar,Adnan Kahveci Mah.
2388,BEYLİKDÜZÜ'NDE E-5'E YAKIN SİTEDE 3+1 EŞYALI KİRALIK DAİRE,140,3+1,14.500,Kavaklı,Barış Mh.
2389,BEYLİKDÜZÜ ADNAN KAHVECİ 3+1 EŞYALI KİRALIK DAİRE,188,3+1,12.000,Gürpınar,Adnan Kahveci Mah.
2390,Beylikdüzünde havuzlu lüks site içinde eşyalı 1+1,90,1+1,8.000,Kavaklı,Barış Mh.
2391,Adnan Kahveci Jetkent Sitesi Dubleks 2+1 Kiralık Daire,154,2+1,6.500,Gürpınar,Adnan Kahveci Mah.
2392,beylikdüzü bizimkent de 3+1 kiralık daire spor alanları cepheli,140,3+1,8.000,Kavaklı,Cumhuriyet Mah.
2393,Deniz İstanbul Furnished Flat For Rent 2+1,130,2+1,15.000,Yakuplu,Marmara Mah.
2394,GÜRPINAR MERKEZDE 3+1 DUBLEX KİRALIK DAİRE FIRSATI,170,3+1,11.000,Gürpınar,Gürpınar Mh.
2395,YAKUPLU HARAMİDERE METROBÜSE 2 DK KİRALIK EŞYALI DAİRE,130,2+1,8.500,Yakuplu,
2396,Beyaz Eşyalı geniş kullanışlı 1+1 LUX ferah daire,95,1+1,5.000,Gürpınar,Adnan Kahveci Mah.
2397,BEYLİKDÜZÜ KAVAKLI MAH DENİZ MANZARALI SİTEDE 5+2 KİRALIK DAİRE,260,5+2,7.500,Kavaklı,Kavaklı Mh.
2398,FIRSAT BEYLİKDÜZÜNDE HAVUZLU LÜX SİTE İÇİ 2+1 ARAKAT YENİ DAİRE!,110,2+1,6.999,Gürpınar,Adnan Kahveci Mah.
2399,BEYLİKDÜZÜ ADNAN KAHVECİDE EŞYALI 3+1 **تلفن مشاورفارس درتوضیحات,185,3+1,15.000,Gürpınar,Adnan Kahveci Mah.
2400,Sahibinden Hasırcılar Çarşısı Arkasında Arakat 3+1 Geniş Daire,150,3+1,7.500,Yakuplu,
2401,Beylikdüzü Kavaklı Mahallesi'nde 2+1 90 m2 Kiralık Daire,90,2+1,4.750,Kavaklı,Kavaklı Mh.
2402,yakupluda kiralık ful eşyalı 2+1 yüksek giriş,90,2+1,6.000,Yakuplu,
2403,Beylikdüzü Kavaklı Merkezde Ful Dniz Mnzralı 3+2 Kiralık Dubleks,170,3+2,7.000,Kavaklı,Kavaklı Mh.
2404,DEMİR COUNTRY FULL ÖN CEPHE DENİZ MANZARALI 9.KAT 1+1 FOR RENT.,65,1+1,7.850,Kavaklı,Kavaklı Mh.
2405,SARAÇ EMLAK'TAN ALYA ONİST SİTESİNDE EŞYALI 3+2 DUBLEKS,220,3+2,15.000,Kavaklı,Kavaklı Mh.
2406,LİV MARMARA TEK YETKİLİ EMLAK OFİSİNDEN 1+1 60M2 KİRALIK DAİRE,60,1+1,4.500,Yakuplu,
2407,ADNAN KAHVECİ MAH AKEVLER 3 SİTESİ 2+1 KİRALIK DAİRE,115,2.5+1,6.250,Gürpınar,Adnan Kahveci Mah.
2408,MARMARA MAH.3+1 KİRALIK DAİRE,150,3+1,7.000,Yakuplu,Marmara Mah.
2409,ESTON REŞİTPAŞA EVLERİ 3.KISIMDA KİRALIK 3+1,135,3+1,8.000,Yakuplu,Marmara Mah.
2410,BEYLİKDÜZÜNDE KEYİFLİ VE NEZİH BİR YERDE OTURMAK İSTERMİSİNİZ?,145,3+1,8.500,Yakuplu,Marmara Mah.
2411,2+1 kiralik eşyali daire,200,2+1,9.000,Gürpınar,Gürpınar Mh.
2412,İNMARİ'de DENİZ MANZARALI KİRALIK 2+1 DAİRE,115,2+1,11.000,Yakuplu,Marmara Mah.
2413,İNNOVİA 2.ETAP & EŞYALI 1+1 & ULAŞIM KOLAY !!!! 3750 TL !,72,1+1,3.750,Kavaklı,Cumhuriyet Mah.
2414,BEYLİKDÜZÜNÜN EN PRESTİJLİ SİTESİNDE 3+1 ARAKAT KİRALIK DAİRE,140,3+1,12.500,Kavaklı,Kavaklı Mh.
2415,BEYLİKDÜZÜ YAKUPLU' DA SİTE İÇERİSİNDE EŞYALI KİRALIK DAİRE,135,3+1,9.500,Yakuplu,
2416,3+1 Sıfır Daire /açıklama okuyabilirsiniz aramaktan önce,135,3+1,13.500,Kavaklı,Kavaklı Mh.
2417,B.DÜZÜ SONSUZDAN KAVAKLI MAHALLESİNDE ANKASTRELİ ARAKAT KİRALIK,110,2+1,8.000,Kavaklı,Kavaklı Mh.
2418,WestSide Satış Ofisinden Koru Manzaralı Sıfır 3+1 Kiralık Daire,169,3+1,14.000,Kavaklı,Barış Mh.
2419,BEYLİKDÜZÜ İNMARİ SİTESİNDE 1+1 80M2 LOFT DAİRE 7.750 TL,90,1+1,7.750,Yakuplu,Marmara Mah.
2420,MAKYOL YAŞAM BEYLİKDÜZÜ'NDE 1+1 82 M2 KIRALIK BALKONLU DAİRE,82,1+1,7.000,Kavaklı,Barış Mh.
2421,HAVUZLU OTOPARKLI GÜVENLİKLİ SİTEDE 3+1 SÜPER LÜKS DAİRE,175,3+1,10.000,Gürpınar,Adnan Kahveci Mah.
2422,Marmara mahallesi 3+1 açık mutfak kiralık,100,3+1,6.000,Yakuplu,Marmara Mah.
2423,Beylikdüzü Adnan Kahveci Temiz Eşyalı Kiralık 3+1 Daire,185,3+1,10.000,Gürpınar,Adnan Kahveci Mah.
2424,BEYLİKDÜZÜ ADNAN KAHVECİ SEYİR TERASLI 1+1 EŞYALI...,62,1+1,5.000,Gürpınar,Adnan Kahveci Mah.
2425,BEYLİKDÜZÜNÜN GÖZDE SİTESİNDE EŞYALI GENİŞ 3+1 DAİRE,165,3+1,12.500,Kavaklı,Cumhuriyet Mah.
2426,ARBİN GRUP TAN KAVAKLI DA EŞYALI KİRALIK 2+1 DAİRE,90,2+1,5.000,Kavaklı,Kavaklı Mh.
2427,Beylikdüzü Evimiz Sitesi Peyzaj ve Havuz Cephe 3+1 Kiralık Daire,135,3+1,11.000,Gürpınar,Adnan Kahveci Mah.
2428,Adnan Kahveci Mahallesi'nde 2+1,95,2+1,10.000,Gürpınar,Adnan Kahveci Mah.
2429,İNFO YAPIDAN HUZURLU MARMARA SİTESİNDE 3+1 KİRALIK DAİRE FIRSATI,140,3+1,12.000,Kavaklı,Kavaklı Mh.
2430,BEYLİKDÜZÜ YABANCIYA SİTEDE 2+1 EŞYALI KİRALIK DAİRE,105,2+1,11.000,Kavaklı,Kavaklı Mh.
2431,VİRA İSTANBUL 2+1 TERASLI BAHÇELİ KİRALİK BOŞ DAİRE,120,2+1,7.500,Kavaklı,Barış Mh.
2432,EŞYALI KİRALIK DAİRE 5900 TL GİRİŞ KAT,80,2+1,5.900,Gürpınar,Dereağzı Mh.
2433,Beylikdüzü Barış Mahallesi Havuzlu Site İçi Kiralık Daire,140,3+1,7.500,Kavaklı,Barış Mh.
2434,Adnan Kahveci Mah. Metrobüse Yürüme Mesafesinde 3+1 Kiralık,160,3+1,6.750,Gürpınar,Adnan Kahveci Mah.
2435,EFOR KENTSEL'DEN BEYLİKDÜZÜ WEST SİDE PROJESİNDE 2+1 125 M,125,2+1,12.000,Kavaklı,Barış Mh.
2436,EVİST GAYRİMENKUL'DEN KUBİST PARK'TA 1+1 70 M2 KİRALIK DAİRE,70,1+1,7.500,Gürpınar,Adnan Kahveci Mah.
2437,Okullar bölgesinde temiz daire,95,2.5+1,7.250,Gürpınar,Adnan Kahveci Mah.
2438,YAKUPLU'DA BAHÇE KATI 1+1 KAPALI MUTFAK KİRALIK DAİRE,80,1+1,3.900,Yakuplu,
2439,BEYLİKDÜZÜNDE DENİZ MANZARALI SİTE İÇİ 3+1 YILLIK PEŞİN KİRALIK,150,3+1,7.000,Gürpınar,Adnan Kahveci Mah.
2440,Beylikdüzü Cumhuriyet'te Ekşioğlu Doruk Evleri 3+1 Kiralık Daire,125,3+1,7.500,Kavaklı,Cumhuriyet Mah.
2441,AHENK İSTANBUL SİTESİNDE EŞYALI KİRALIK 3+1 DUBLEKS DENİZ MANZ.,227,3+1,12.750,Gürpınar,Adnan Kahveci Mah.
2442,Arispark da Muhteşem deniz manzaralı traslı dubleks ferah 3+2,220,3+2,11.000,Kavaklı,Barış Mh.
2443,"RW ÇİĞDEM BAŞAROL DAN NEFİS, FULL YAPILI, KİRALIK 4+2 DUBLEX",270,4+2,13.000,Gürpınar,Adnan Kahveci Mah.
2444,METROBÜSE YAKIN BEYLİKDÜZÜNDE 1+1 EŞYALI KİRALIK DAİRELER,70,1+1,5.000,Kavaklı,Barış Mh.
2445,BEYLİKDÜZÜ BÜYÜKŞEHİR B KISIMDA A TIPİ 3+1 DAİRE 120 M2 KİRALIK,120,3+1,6.250,Kavaklı,Büyükşehir Mh.
2446,"BEYLİKDÜZÜ 3,5+1 KIRALIK DAIRE/ FOR RENT/ اجاره ای",190,3.5+1,18.500,Gürpınar,Adnan Kahveci Mah.
2447,CUMHURİYETTE MERKEZİ KONUMDA KİRALIK AÇIKLAMAYI OKUYUNUZ,75,1+1,7.500,Kavaklı,Cumhuriyet Mah.
2448,AİLEM GAYRİMENKUL'DEN BAYANA KİRALIK 1+1 TERAS KATI DAİRE,80,1+1,4.000,Kavaklı,Kavaklı Mh.
2449,Kale Kent'te 2+1 Peyzaj ve Yaşam Vadisi Manzaralı Güney Cepe,100,2+1,10.000,Gürpınar,Adnan Kahveci Mah.
2450,YAKUPLU kiralık 3+2 Dublex,170,3+2,8.500,Yakuplu,
2451,BEYLİKDÜZÜNDE SİTE İÇERİSİNDE 2+1 KİRALIK DAİRE,120,2+1,7.000,Kavaklı,Kavaklı Mh.
2452,BEYLİKDÜZÜ YEŞİLKENT 1 MAVİKENT'DE EŞYALI KİRALIK 4+1 DUBLEKS,195,4+1,16.000,Gürpınar,Adnan Kahveci Mah.
2453,BEYLİKDÜZÜ ATLASMARİN'DEN KOLEJLER BÖLG.MANZARALI EŞYALI DUBLEKS,230,3+2,13.500,Kavaklı,Kavaklı Mh.
2454,Gürpınarda 3+1 Eşyalı KİRALIK daire,145,3+1,8.250,Gürpınar,Gürpınar Mh.
2455,Beylikdüzü Yakuplu 'da Yeni Binada Kiralık 2+1 Daireler,85,2+1,5.750,Yakuplu,
2456,KONAK YAPI GAYRİMENKUL'DAN YABANCI YA UYGUN EŞYALI KİRALIK,120,2+1,6.000,Gürpınar,Gürpınar Mh.
2457,Beylikdüzü Merkezde Eşyalı Kiralık Daire 2+1 Site İçinde,90,2+1,7.000,Yakuplu,
2458,"Yakuplu merkezde, önü açık, 3+1 ebeveyn banyolu kiralık daire",115,3+1,7.300,Yakuplu,
2459,MED EMLAKTAN KIRALIK 3+1 LUX DAIRE,190,3+1,17.500,Gürpınar,Adnan Kahveci Mah.
2460,BEYLİKDÜZÜ AQUA KAVAKLI 2+2 TERASLI BOŞ KİRALIK 10.000 TL,135,2+2,10.000,Kavaklı,Kavaklı Mh.
2461,BEYKENT MERKEZ E5 300M 3+1=140M2 BAKIMLI BOŞ KİRALIK,140,3+1,7.000,Gürpınar,Adnan Kahveci Mah.
2462,BEYLİKDÜZÜ KAVAKLI MERKEZDE KİRALIK DAİRE,95,2+1,7.250,Kavaklı,Kavaklı Mh.
2463,BEYLİKDÜZÜ MARİNA İNMARİ DE KİRALIK DAİRE VE OFİS 1+1,105,2+1,12.000,Yakuplu,Marmara Mah.
2464,Beylikdüzü Saklıhan Konakları 2+1 140 M2 Kiralık Lüx Daire,140,2+1,12.000,Kavaklı,Cumhuriyet Mah.
2465,BEYLİKDÜZÜ YAKUPLU MAH. KİRALIK DAİRE 3+1 3.KAT 135m2!! 7.000tl,145,3+1,7.000,Yakuplu,
2466,BARIŞ MAH.YABANCIYA UYGUN FERAH 3+1 145M2 AİLE SİTESİ,150,3+1,8.500,Kavaklı,Barış Mh.
2467,"METROBÜSE 5 DK MESAFEDE , GENİŞ PEYZAJLI 3+1",145,3+1,6.300,Kavaklı,Barış Mh.
2468,ADNAN KAHVECİ'DE EŞYALI LÜX 3+1 KİRALIK DAİRE,175,3+1,12.000,Gürpınar,Adnan Kahveci Mah.
2469,BEYLİKDÜZÜ ADNAN KAHVECİ EŞYALI KİRALIK DAİRE 3+1,145,3+1,10.000,Gürpınar,Adnan Kahveci Mah.
2470,Beylikdüzü Gürpınar Kiralık Daire,145,3+1,5.500,Gürpınar,Dereağzı Mh.
2471,kiralık 3+2 dubleks,200,3+2,7.000,Kavaklı,Sahil Mah.
2472,! YABANCIYA UYGUN ! & NEWPORT SİTESİNDE & FULL EŞYALI 1+1 DAİRE,95,1+1,5.500,Yakuplu,
2473,SAHİBINDEN 2+1,115,2+1,7.000,Gürpınar,Dereağzı Mh.
2474,BEYLİKDÜZÜ ADNAN KAHVECİ MAH. BEYAZ RESİDENCE 4+1 KİRALIK DAİRE,195,4+1,17.000,Kavaklı,Cumhuriyet Mah.
2475,GÜRPINAR`DA HAVUZLU SİTEDE KİRALIK 2+1,105,2+1,7.000,Gürpınar,Dereağzı Mh.
2476,BEYLÜKDÜZÜNDE KİRALIK SİTE 2+1 SIFIR DAİRE/ FOR RENT/ اجاره ای,120,2+1,6.900,Kavaklı,Kavaklı Mh.
2477,BEYKENT SERA KONUTLARINDA KİRALIK EŞYALI 2+1 DAİRE,95,2+1,7.500,Gürpınar,Adnan Kahveci Mah.
2478,İHLAS AYRICALIĞI İLE 3+1 KİRALIK.MARMARA EVLERİ 3 DE,196,3+1,17.000,Yakuplu,Marmara Mah.
2479,Beykent 390 m2 dubleks ultra Adnan Kahvecide Yabancıya uygun,390,5+2,18.000,Gürpınar,Adnan Kahveci Mah.
2480,KİRALIK 2+1 DAİRE DENİZE YURUME MESAFESİNDE BAHÇE KATI,140,2+1,5.000,Gürpınar,Dereağzı Mh.
2481,EŞYALI...ADNAN KAHVECİ ANA BULVAR ÜZERİ LÜX EŞYALI 3+1,175,3+1,12.000,Gürpınar,Adnan Kahveci Mah.
2482,Gürpınarda 4+1,255,4+1,8.000,Gürpınar,Gürpınar Mh.
2483,KALEKENT'TE FUL EŞYALI KİRALIK 1+1,58,1+1,9.000,Gürpınar,Adnan Kahveci Mah.
2484,Beykent kubistte 1+1 teraslı oturuma hazır,75,1+1,6.500,Gürpınar,Adnan Kahveci Mah.
2485,Demir Country 3+1,130,3+1,11.000,Kavaklı,Kavaklı Mh.
2486,Beylikdüzü KAVAKLI Mahallesinde 3+1 Kiralık,150,3+1,7.000,Kavaklı,Kavaklı Mh.
2487,DEMİR COUNTRY 1+1 BATI CEPHE 3.KAT KİRALIK,75,1+1,6.500,Kavaklı,Kavaklı Mh.
2488,İHLAS MARMARA EVLERİ 4 FOR RENT للإيجار 3غرف وصالة ببلكونة كبيرة,163,3+1,15.000,Kavaklı,Kavaklı Mh.
2489,Sahibinden kiralık 2+1 giriş kat,85,2+1,4.750,Kavaklı,Kavaklı Mh.
2490,Beylikdüzü Gürpınarda eşyalı villa,350,4+1,30.000,Gürpınar,Adnan Kahveci Mah.
2491,BEYLİKDÜZÜ A KAHVECİ HAVUZLU SİTE KİRALIK EŞYALI DUBLEKS 3+2,240,3+2,14.000,Gürpınar,Adnan Kahveci Mah.
2492,BEYLİKDÜZÜ ADNAN KAHVECİ MAH ELİT PARKTA GENİŞ 80 m2 1+1,110,1+1,6.500,Gürpınar,Adnan Kahveci Mah.
2493,Beylikdüzü Kavaklıda 3+2 Dublex Kiralık Daire,220,3+2,7.000,Kavaklı,Kavaklı Mh.
2494,Kavakli da Geniş Teraslı Dubleks 3+1 Emniyete yakin,180,3+1,9.000,Kavaklı,Kavaklı Mh.
2495,CUMHURİYET MAHALLESİ KİRALIK 1+1 KAPALI MUTFAK DAİRE,80,1+1,5.500,Kavaklı,Cumhuriyet Mah.
2496,Beylikdüzü Barış Mah Tadilatlı Ebeveyn Banyolu 3+1 Kiralık Daire,160,3+1,8.000,Kavaklı,Barış Mh.
2497,BEYLİKDÜZÜ MARMARA EVLERİ 3 KISIM KİRALIK 3+1 196 m2,196,3+1,15.000,Yakuplu,Marmara Mah.
2498,PERLAVİSTA AVM YANINDA 2006 YAPIMI SİTE İÇİ LÜX FULL EŞYALI 2+1,102,2+1,11.000,Gürpınar,Adnan Kahveci Mah.
2499,Dubleks 4 + 2 eşyalı kiralık daire,250,4+2,22.000,Gürpınar,Adnan Kahveci Mah.
2500,CADDE ÜZERİ LÜKS KİRALIK 3+1,165,3+1,9.500,Gürpınar,Adnan Kahveci Mah.
2501,EŞYALI LUX SOSYAL TESİSLİ SİTE İÇİ ANA BULVAR ÜZERİ 3+2 DUBLEKS,240,3+2,14.000,Gürpınar,Adnan Kahveci Mah.
2502,Beylikdüzü West Side 'da Yıllık Peşin Kiralık Eşyalı 1+1 Daire,70,1+1,8.000,Kavaklı,Barış Mh.
2503,BARIŞ MAH. DEPREM SONRASI BİNADA FERAH 3+1 145M2 AİLE SİTESİ,150,3+1,8.000,Kavaklı,Barış Mh.
2504,Beylikdüzü Gürpınarda Lüks Site içinde Villa tadında 4+2 Kiralık,290,4+2,22.500,Gürpınar,Gürpınar Mh.
2505,BEYLİKDÜZÜ CUMHURİYET MAH METROBÜS 1 DAKİKA 3+1 KİRALIK,140,3+1,6.500,Kavaklı,Büyükşehir Mh.
2506,KİRALIK DUBLEX 3+2 DAİRE ÇİFT GİRİŞLİ,168,3+2,8.250,Gürpınar,Dereağzı Mh.
2507,Kavaklı deniz manzaralı 4+2 dubleks KİRALIK lütfen açıklama oku,220,4+2,7.750,Kavaklı,Sahil Mah.
2508,CUMHURİYET MERKEZDE METROBÜSE YAKIN DAİRE AÇIKLAMAYI OKUYUNUZ,60,1+1,5.499,Kavaklı,Büyükşehir Mh.
2509,3+1 ful eşyalı,135,3+1,8.500,Gürpınar,Gürpınar Mh.
2510,B.DÜZÜ BASINDOĞA SİTESİ OKULLARIN YANI SİTE İÇİNDE KİRALIK 3+1 D,140,3+1,6.750,Kavaklı,Cumhuriyet Mah.
2511,BEYLİKDÜZÜ BEYKENT ADNANKAHVECİ MAH EŞYALI KİRALIK 3+1 DAİRE,180,3+1,9.000,Gürpınar,Adnan Kahveci Mah.
2512,BEYLİKDÜZÜ ŞELALE EVLERİ 2+1 KİRALIK DAİRE,120,2+1,6.500,Gürpınar,Adnan Kahveci Mah.
2513,! YABANCIYA UYGUN ! & NEWPORT SİTESİNDE & KİRALIK 1+1 BOŞ DAİRE,95,1+1,4.250,Yakuplu,
2514,NEWİSTA RESİDENCE YÜKSEK KAT A BLOK KİRALIK 1+0 DAİRE,55,1+0,4.000,Kavaklı,Cumhuriyet Mah.
2515,BEYLİKDÜZÜ DEMİR COUNTRY DE KİRALIK DAİRELER 11.000₺,130,2+1,11.000,Kavaklı,Kavaklı Mh.
2516,vira istanbulda kiralık 4+1 daire,220,4+1,20.000,Kavaklı,Barış Mh.
2517,Deniz manzaralı 3+1 çatı dubleks,175,3+1,10.000,Gürpınar,Adnan Kahveci Mah.
2518,BEYLİKDÜZÜ İNMARİ DE OFİS KULLANIMINA UYGUN KİRALİK 2+1,104,2+1,12.000,Yakuplu,Marmara Mah.
2519,"BAYANLARA ÖZEL EŞYALI,FATURA­LARvs.HERŞEY DAHİL KİRALIK 1+0 DAİRE",25,1+0,5.000,Gürpınar,Adnan Kahveci Mah.
2520,BEYLİKDÜZÜ EŞYALI 1+1 72 M2 __ AÇIKLAMAYI OKUYUNUZ!!! 4000 TL,72,1+1,4.000,Merkez,Beylikdüzü OSB
2521,METROBÜS 5 DK & EŞYALI 1+1 85 M2 & GÜVENLİKLİ 4000 TL !!!!,85,1+1,4.000,Kavaklı,Cumhuriyet Mah.
2522,"MarmaraPark Arkası FULL EŞYALI 90 m2 2+1 DEPOLU,WİFİ,2 BAHÇELİ",100,2+1,3.900,Kavaklı,Cumhuriyet Mah.
2523,BEYLİKDUZU ADNAN KAHVECİ KİRALIK DAİRE,200,3+1,15.000,Gürpınar,Adnan Kahveci Mah.
2524,Beylikdüzü Barış mahallesinde 4+2 Dublex Kiralık daire,320,4+2,11.000,Kavaklı,Barış Mh.
2525,KÜRE EMRE YAŞAYANDAN GİNZA LAVİNYA PARK 2+1 KÖŞE KİRALIK DAİRE,125,2+1,10.750,Kavaklı,Barış Mh.
2526,Beylikdüzü Gürpınarda Deniz Manzaralı Eşyalı 3+1 Kiralık Daire,125,3+1,7.500,Gürpınar,Gürpınar Mh.
2527,ZERO 3+1 FLAT ON THE 2ND FLOOR AT DEMIR COUNTRY BY EXPERTS,132,3+1,10.000,Kavaklı,Kavaklı Mh.
2528,ADNAN KAHVECİ MAH SİTE İÇERİSİNDE 1+1 EŞYALI KİRALIK DAİRE,85,1+1,5.250,Gürpınar,Adnan Kahveci Mah.
2529,BEYLİKDÜZÜ BARIŞ MAH. SİTE İÇİ LÜX DAİRE EŞYALI 2+1,110,2+1,13.000,Kavaklı,Barış Mh.
2530,AKTEL RESİDENCE 'DA DENİZ MANZARALI EŞYALI KİRALIK 2+1 DUBLEKS,140,2+1,15.000,Gürpınar,Adnan Kahveci Mah.
2531,Müstakil Bahçeli Eşyalı Kiralık 3+1 Daire,160,3+1,17.500,Gürpınar,Dereağzı Mh.
2532,YABANCIYA UYGUN BARIŞ MH DEPREM SONRASI AİLE SİTESİ 4+2 250M2,220,4+2,11.000,Kavaklı,Barış Mh.
2533,Büyükşehir Mahallesin'de A Tipi Kiralık 3+1 Daire,120,3+1,6.500,Kavaklı,Büyükşehir Mh.
2534,YETKİLİ SATIŞ OFİSİNDEN İN MARİ MARMARADA 1+1 LOFT DAİRELER,81,1+1,7.000,Yakuplu,Marmara Mah.
2535,ADNAN KAHVECİ MAH.BEYKENTTE SİTE İÇERİSİNDE 2+1 KİRALIK DAİRE,95,2+1,6.325,Gürpınar,Adnan Kahveci Mah.
2536,Beylikdüzü Gürpınar Panoramik Deniz Manzara 3+1 Kiralık Daire,175,3+1,15.000,Gürpınar,Gürpınar Mh.
2537,AKTEL RESIDANCE de KİRALIK DAİRE 4+1,250,4+1,15.000,Gürpınar,Adnan Kahveci Mah.
2538,SIFIR EŞYALI METROBÜSE YAKIN MERKEZDE AÇIKLAMAYI OKUYUNUZ,70,1+1,6.749,Kavaklı,Büyükşehir Mh.
2539,Beylikdüzü Demir Country'de Kiralık 2+1 Yeni,110,2+1,8.750,Kavaklı,Kavaklı Mh.
2540,SAFİR'DEN E-5-TEM YANI METROBÜSE 5DAK SİTE İÇİ LUX 105M2 DAİRE!,105,2+1,6.250,Kavaklı,Cumhuriyet Mah.
2541,BEYLİKDÜZÜ BARIŞ MAHALLESİ KİRALIK DAİRE,170,3+1,8.000,Kavaklı,Barış Mh.
2542,ADNAN KAHVECİ MERKEZİ KONUMDA 4+2 EŞYALI DUBLEKS KİRALIK DAİRE,250,4+2,20.000,Gürpınar,Adnan Kahveci Mah.
2543,2+1 furnished apartment for rent,90,2+1,10.000,Gürpınar,Adnan Kahveci Mah.
2544,"MARMARA EVLERİ 4, 2+1 KİRALIK DAİRE شقة فاخرة للإيجار في اسطنبول",120,2+1,8.000,Kavaklı,Kavaklı Mh.
2545,Beylikdüzü Bizimkent Emlak Bankası konutlarında süper konumda,157,3+1,10.000,Kavaklı,Cumhuriyet Mah.
2546,BEYLİKDÜZÜ İNMARİ DE KİRALIK 1+1 DAİRE,76,1+1,8.000,Yakuplu,Marmara Mah.
2547,Demir Country 1+1,60,1+1,6.000,Kavaklı,Kavaklı Mh.
2548,BEYLİKDÜZÜ ADAKENT KİRALIK 3+1,160,3+1,6.500,Kavaklı,Barış Mh.
2549,ADNAN KAHVECİDE 3+1 SİTE İÇİ KİRALIK DAİRE,135,3+1,11.000,Gürpınar,Adnan Kahveci Mah.
2550,istanbulun gözdesi beylikdüzü yakupluda 2+1 fuull eşyalı daire,120,2+1,8.500,Yakuplu,
2551,ZERO 2+1 FLAT WİTH THE GARDEN VİEW BY EXPERTS PROPERTY,114,2+1,9.000,Kavaklı,Kavaklı Mh.
2552,Tertemiz 3-1,150,3+2,10.000,Kavaklı,Barış Mh.
2553,Beylikdüzü Gürpınar merkez de4+2 dublex deniz manzara daire,260,4+2,8.000,Gürpınar,Gürpınar Mh.
2554,REMAX GELİŞİMDEN ALYA MERCANDA 2+1 BAHÇE KULLANIMLI DAİRE,100,2+1,7.500,Kavaklı,Kavaklı Mh.
2555,BEYKENT MERKEZİ KONUMDA KİRALIK 3+1,180,3+1,7.750,Gürpınar,Adnan Kahveci Mah.
2556,Acil Beylikdüzü 3+1 Lüks Eşyalı Kiralık Daire,180,3+1,9.000,Gürpınar,Adnan Kahveci Mah.
2557,BEYKENT AKTEL RESIDENCE'TA DENİZ MANZ. KİRALIK 2+2 DUBLEKS DAİRE,180,2+2,8.250,Gürpınar,Adnan Kahveci Mah.
2558,BEYLİKDÜZÜ BARIŞ MAH.3+1 EŞYALI KİRALIK DAİRE APARTMENT FOR RENT,160,3+1,25.000,Kavaklı,Barış Mh.
2559,BARIŞ MAHALLESİNİN EN GÖZDE SİTESİNDE KAÇMAZ KİRALIK 3+1 DAİRE,145,3+1,8.000,Kavaklı,Barış Mh.
2560,LİV MARMARA SİTESİ BALKONLU 1+1 KİRALIK EŞYASIZ DAİRE,60,1+1,3.700,Yakuplu,
2561,saunalı kapalı oto parkli site icinde 3+1 daire,140,3+1,13.500,Gürpınar,Adnan Kahveci Mah.
2562,BEYLİKDÜZÜ ADNAN KAHVECİ MAH.KALEKENT SİTESİN'de KİRALIK 1+1,71,1+1,7.500,Gürpınar,Adnan Kahveci Mah.
2563,Beykent Metrobüse Yürüme Mesafesinde Kiralık 3+1,180,3+1,7.000,Gürpınar,Adnan Kahveci Mah.
